City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
370,veraval,20.9,70.3667,21.99,64,0,4.03,IN,1701314387
371,kristiansund,63.1115,7.732,-1.64,64,100,2.06,NO,1701314387
372,wynyard,-41.0,145.7167,17.32,56,99,4.96,AU,1701314387
373,zhosaly,45.4878,64.0781,-0.8,69,0,2.39,KZ,1701314388
374,hovd,48.0056,91.6419,-11.78,93,65,0.56,MN,1701314388
375,edd,13.9297,41.6925,26.88,53,23,4.15,ER,1701314388
376,moyynkum,44.2914,72.9469,5.86,67,100,3.38,KZ,1701314388
377,amarante do maranhao,-5.5667,-46.7422,24.0,75,0,0.64,BR,1701314388
378,tamanrasset,22.785,5.5228,7.95,19,0,0.0,DZ,1701314388
379,butembo,0.15,29.2833,14.18,98,97,0.96,CD,1701314388
380,general conesa,-40.1,-64.4333,24.33,25,0,7.74,AR,1701314389
381,moroni,-11.7022,43.2551,26.23,78,43,1.99,KM,1701314389
382,kilju,40.9642,129.3278,-3.51,22,0,1.92,KP,1701314389
383,levuka,50.1834,-105.4011,-1.1,81,9,6.76,CA,1701314389
384,villa ojo de agua,-29.5,-63.6938,16.36,95,98,9.02,AR,1701314389
385,yelizovo,53.1873,158.3805,-3.92,62,75,2.0,RU,1701314389
386,sao miguel do araguaia,-13.275,-50.1628,26.49,37,96,0.66,BR,1701314389
387,ciudad constitucion,25.0369,-111.6644,20.02,66,0,5.74,MX,1701314389
388,sao felix do xingu,-6.6447,-51.995,26.84,57,98,0.93,BR,1701314390
389,farah,32.5,62.5,10.34,54,0,1.42,AF,1701314390
390,manjeshvar,12.7,74.8833,28.66,74,100,3.07,IN,1701314390
391,ardestan,33.3761,52.3694,9.76,51,0,0.93,IR,1701314390
392,sanandaj,35.3144,46.9923,-1.99,93,4,1.03,IR,1701314390
393,paszto,47.9202,19.6983,-1.88,80,100,1.52,HU,1701314390
394,srandakan,-7.9386,110.2506,29.09,74,62,4.88,ID,1701314390
